id;nome;departamento;cargo;salario;data_admissao;email;ativo
32;Roberto Cardoso;FINANCEIRO;Assistente;11605.79;2022-09-04;roberto.cardoso@naragroup.com;S
93;Amanda Silva;FINANCEIRO;Coordenador;10032.2;2019-08-09;amanda.silva@naragroup.com;S
52;Jefferson Lima;TI;Estagiário;7387.84;;jefferson.lima@naragroup.com;1
81;Aissa Pereira;TI;Analista;10376.08;;aissa.pereira@naragroup.com;True
7;Patrícia Rocha;FINANCEIRO;Assistente;14859.19;;patrícia.rocha@naragroup.com;SIM
8;Diego Fernandes;MARKETING;Diretor;7746.46;2018-07-30;diego.fernandes@naragroup.com;Nao
6;Bruno Alves;TI;Assistente;6935.41;;bruno.alves@naragroup.com;Sim
69;Lívia Costa;OPERAÇÕES;Coordenador;9753.7;;lívia.costa@naragroup.com;SIM
25;Priscila Teixeira;VENDAS;Coordenador;13401.31;;priscila.teixeira@naragroup.com;True
47;Vera Andrade;FINANCEIRO;Assistente;5219.13;;vera.andrade@naragroup.com;S
100;Fábio Sampaio;VENDAS;Analista;3650.49;;fábio.sampaio@naragroup.com;1
94;Guilherme Santos;OPERAÇÕES;Coordenador;7220.62;;sem_email;1
90;Jefferson Pinto;FINANCEIRO;Assistente;14947.59;;jefferson.pinto@naragroup.com;Sim
49;Raquel Esteves;OPERAÇÕES;Estagiário;3196.95;;raquel.esteves@naragroup.com;S
96;Carla Peixoto;TI;Coordenador;7102.7;;carla.peixoto@naragroup.com;Sim
53;Carla Peixoto;TI;Coordenador;7102.7;;carla.peixoto@naragroup.com;Sim
4;Rafael Oliveira;RH;Estagiário;4369.98;;rafael.oliveira@naragroup.com;Nao
70;César Gomes;OPERAÇÕES;Gerente;12852.17;;sem_email;1
71;Paloma Dias;MARKETING;Diretor;2542.86;;paloma.dias@naragroup.com;Nao
85;Viviane Gomes;RH;Diretor;9935.7;2020-05-20;viviane.gomes@naragroup.com;1
58;Hélio Braga;MARKETING;Assistente;3168.67;;sem_email;Sim
46;Alexandre Lacerda;FINANCEIRO;Estagiário;11962.92;;sem_email;Sim
98;Beatriz Almeida;OPERAÇÕES;Analista;13331.89;;beatriz.almeida@naragroup.com;True
59;Adriana Leal;RH;Diretor;10727.98;;adriana.leal@naragroup.com;sim
43;Elaine Figueiredo;MARKETING;Estagiário;1662.08;2021-07-30;elaine.figueiredo@naragroup.com;sim
60;Marcos Vieira;TI;Assistente;9738.68;;marcos.vieira@naragroup.com;1
26;Henrique Dias;MARKETING;Assistente;6615.94;;henrique.dias@naragroup.com;1
80;Fernando Ribeiro;VENDAS;Gerente;6138.06;;fernando.ribeiro@naragroup.com;1
11;Amanda Silva;FINANCEIRO;Coordenador;10032.2;2019-08-09;amanda.silva@naragroup.com;S
1;Ana Lima;FINANCEIRO;Gerente;9592.43;;ana.lima@naragroup.com;Nao
45;Cristiane Tavares;RH;Gerente;8996.09;;cristiane.tavares@naragroup.com;True
44;Matheus Borges;VENDAS;Diretor;13919.92;;matheus.borges@naragroup.com;Sim
95;Mariana Correia;FINANCEIRO;Assistente;7102.7;;mariana.correia@naragroup.com;1
38;Renato Cavalcante;OPERAÇÕES;Coordenador;9085.42;2020-01-03;renato.cavalcante@naragroup.com;sim
74;Luís Monteiro;TI;Analista;5755.08;;luís.monteiro@naragroup.com;sim
34;Leandro Reis;OPERAÇÕES;Analista;12386.09;;sem_email;Sim
84;Samuel Oliveira;VENDAS;Analista;4466.03;;samuel.oliveira@naragroup.com;Sim
15;Larissa Nunes;MARKETING;Analista;2802.52;2019-08-12;larissa.nunes@naragroup.com;Nao
48;Danilo Campos;VENDAS;Gerente;10974.56;;danilo.campos@naragroup.com;1
63;Lorena Pinto;OPERAÇÕES;Gerente;12887.98;2019-01-20;lorena.pinto@naragroup.com;Sim
62;Pedro Nunes;VENDAS;Diretor;6984.78;;pedro.nunes@naragroup.com;Nao
22;Anderson Cruz;RH;Estagiário;11229.79;;sem_email;1
77;Andréia Campos;RH;Assistente;7102.7;;andréia.campos@naragroup.com;sim
76;Fábio Sampaio;VENDAS;Analista;3650.49;;fábio.sampaio@naragroup.com;1
65;Tatiana Ferreira;TI;Gerente;7102.7;;tatiana.ferreira@naragroup.com;Sim
30;Paulo Nascimento;RH;Analista;3016.48;;paulo.nascimento@naragroup.com;Sim
12;Thiago Santos;TI;Assistente;3333.52;;thiago.santos@naragroup.com;True
41;Claudia Ramos;TI;Gerente;7102.7;;claudia.ramos@naragroup.com;Sim
64;Murilo Cardoso;MARKETING;Gerente;3278.7;;murilo.cardoso@naragroup.com;sim
79;Natasha Moura;RH;Gerente;8767.25;;natasha.moura@naragroup.com;Sim
17;Mariana Correia;FINANCEIRO;Assistente;7102.7;;mariana.correia@naragroup.com;1
29;Flávia Azevedo;VENDAS;Estagiário;7102.7;2020-08-05;flávia.azevedo@naragroup.com;True
20;Gustavo Pinto;RH;Analista;3946.54;2018-06-03;gustavo.pinto@naragroup.com;1
66;Rodrigo Farias;OPERAÇÕES;Diretor;6843.64;;rodrigo.farias@naragroup.com;Nao
78;Bruno Esteves;VENDAS;Diretor;2557.32;;bruno.esteves@naragroup.com;sim
89;Keila Mendes;TI;Coordenador;7102.7;;keila.mendes@naragroup.com;sim
55;Beatriz Almeida;OPERAÇÕES;Analista;13331.89;;beatriz.almeida@naragroup.com;True
92;Déborah Cunha;RH;Assistente;8191.9;;déborah.cunha@naragroup.com;Sim
31;Simone Castro;MARKETING;Estagiário;14707.05;;simone.castro@naragroup.com;True
73;Déborah Cunha;RH;Assistente;8191.9;;déborah.cunha@naragroup.com;Sim
19;Isabela Mendes;FINANCEIRO;Assistente;12601.96;2022-06-24;isabela.mendes@naragroup.com;SIM
57;Denise Mota;TI;Gerente;3292.07;2018-02-16;denise.mota@naragroup.com;True
67;Jéssica Lopes;MARKETING;Assistente;7367.99;;jéssica.lopes@naragroup.com;Sim
51;Mônica Barros;OPERAÇÕES;Diretor;9711.58;;mônica.barros@naragroup.com;sim
72;Renan Barros;OPERAÇÕES;Coordenador;8579.03;;renan.barros@naragroup.com;sim
9;Camila Pereira;VENDAS;Estagiário;12189.83;;camila.pereira@naragroup.com;S
5;Juliana Martins;MARKETING;Analista;7102.7;;juliana.martins@naragroup.com;True
97;Priscila Teixeira;VENDAS;Coordenador;13401.31;;priscila.teixeira@naragroup.com;True
36;Fábio Araújo;MARKETING;Assistente;4119.05;2019-02-15;fábio.araújo@naragroup.com;SIM
21;Letícia Moreira;FINANCEIRO;Gerente;5704.15;;letícia.moreira@naragroup.com;1
33;Aline Ferreira;MARKETING;Estagiário;12712.17;2024-10-17;aline.ferreira@naragroup.com;Nao
39;Débora Vieira;VENDAS;Coordenador;9230.96;;débora.vieira@naragroup.com;True
68;Wellington Sousa;RH;Gerente;4640.38;2024-06-04;wellington.sousa@naragroup.com;Nao
35;Sabrina Melo;TI;Assistente;6484.56;;sabrina.melo@naragroup.com;1
10;Lucas Ribeiro;OPERAÇÕES;Analista;2982.2;2019-12-03;sem_email;1
83;Monique Rocha;RH;Estagiário;6155.78;2019-04-23;monique.rocha@naragroup.com;S
87;Raíssa Correia;FINANCEIRO;Estagiário;1738.96;;raíssa.correia@naragroup.com;SIM
40;Sérgio Machado;FINANCEIRO;Estagiário;13505.09;;sérgio.machado@naragroup.com;Nao
91;Patrícia Rocha;FINANCEIRO;Assistente;14859.19;;patrícia.rocha@naragroup.com;SIM
54;Nelson Freire;VENDAS;Estagiário;12209.29;;nelson.freire@naragroup.com;SIM
23;Natália Barbosa;OPERAÇÕES;Coordenador;5501.09;2018-11-25;natália.barbosa@naragroup.com;SIM
88;Alexandre Freitas;FINANCEIRO;Diretor;14951.03;;alexandre.freitas@naragroup.com;S
18;Eduardo Freitas;TI;Assistente;1650.5;2018-07-15;eduardo.freitas@naragroup.com;Nao
24;Vinícius Lopes;RH;Diretor;5455.9;2021-08-06;vinícius.lopes@naragroup.com;S
56;Igor Santana;FINANCEIRO;Assistente;5730.85;;igor.santana@naragroup.com;SIM
2;Carlos Souza;TI;Estagiário;6671.41;;carlos.souza@naragroup.com;S
14;Felipe Gomes;RH;Analista;3267.51;;felipe.gomes@naragroup.com;Nao
82;Guilherme Santos;OPERAÇÕES;Coordenador;7220.62;;sem_email;1
86;Denilson Alves;FINANCEIRO;Analista;9625.97;;denilson.alves@naragroup.com;True
27;Tatiane Cunha;OPERAÇÕES;Gerente;6627.63;2020-03-20;tatiane.cunha@naragroup.com;Sim
28;Marcelo Monteiro;OPERAÇÕES;Estagiário;5487.92;;marcelo.monteiro@naragroup.com;1
42;Willian Duarte;RH;Analista;6032.64;;willian.duarte@naragroup.com;1
16;Rodrigo Batista;VENDAS;Gerente;13975.81;2024-04-16;rodrigo.batista@naragroup.com;True
99;Viviane Gomes;RH;Diretor;9935.7;2020-05-20;viviane.gomes@naragroup.com;1
3;Fernanda Costa;FINANCEIRO;Coordenador;11250.05;;fernanda.costa@naragroup.com;True
75;Graciela Silva;VENDAS;Estagiário;4941.37;;graciela.silva@naragroup.com;sim
